---------------------------------------------------------------------------------------------------------------
| Depth |    Nodes    |                                     FEN                                      | Status |
|     2 |         130 | r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1                                             |  PASS  |
|     3 |         782 | r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1                                             |  PASS  |
|     4 |       22180 | r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1                                             |  PASS  |
|     5 |      118882 | r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1                                             |  PASS  |
|     6 |     3517770 | r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1                                             |  PASS  |
|     1 |          12 | 8/8/8/8/8/8/6k1/4K2R w K - 0 1                                               |  PASS  |
|     2 |          38 | 8/8/8/8/8/8/6k1/4K2R w K - 0 1                                               |  PASS  |
|     3 |         564 | 8/8/8/8/8/8/6k1/4K2R w K - 0 1                                               |  PASS  |
|     4 |        2219 | 8/8/8/8/8/8/6k1/4K2R w K - 0 1                                               |  PASS  |
|     5 |       37735 | 8/8/8/8/8/8/6k1/4K2R w K - 0 1                                               |  PASS  |
|     6 |      185867 | 8/8/8/8/8/8/6k1/4K2R w K - 0 1                                               |  PASS  |
|     1 |          15 | 8/8/8/8/8/8/1k6/R3K3 w Q - 0 1                                               |  PASS  |
|     2 |          65 | 8/8/8/8/8/8/1k6/R3K3 w Q - 0 1                                               |  PASS  |
|     3 |        1018 | 8/8/8/8/8/8/1k6/R3K3 w Q - 0 1                                               |  PASS  |
|     4 |        4573 | 8/8/8/8/8/8/1k6/R3K3 w Q - 0 1                                               |  PASS  |
|     5 |       80619 | 8/8/8/8/8/8/1k6/R3K3 w Q - 0 1                                               |  PASS  |
|     6 |      413018 | 8/8/8/8/8/8/1k6/R3K3 w Q - 0 1                                               |  PASS  |
|     1 |           3 | 4k2r/6K1/8/8/8/8/8/8 w k - 0 1                                               |  PASS  |
|     2 |          32 | 4k2r/6K1/8/8/8/8/8/8 w k - 0 1                                               |  PASS  |
|     3 |         134 | 4k2r/6K1/8/8/8/8/8/8 w k - 0 1                                               |  PASS  |
|     4 |        2073 | 4k2r/6K1/8/8/8/8/8/8 w k - 0 1                                               |  PASS  |
|     5 |       10485 | 4k2r/6K1/8/8/8/8/8/8 w k - 0 1                                               |  PASS  |
|     6 |      179869 | 4k2r/6K1/8/8/8/8/8/8 w k - 0 1                                               |  PASS  |
|     1 |           4 | r3k3/1K6/8/8/8/8/8/8 w q - 0 1                                               |  PASS  |
|     2 |          49 | r3k3/1K6/8/8/8/8/8/8 w q - 0 1                                               |  PASS  |
|     3 |         243 | r3k3/1K6/8/8/8/8/8/8 w q - 0 1                                               |  PASS  |
|     4 |        3991 | r3k3/1K6/8/8/8/8/8/8 w q - 0 1                                               |  PASS  |
|     5 |       20780 | r3k3/1K6/8/8/8/8/8/8 w q - 0 1                                               |  PASS  |
|     6 |      367724 | r3k3/1K6/8/8/8/8/8/8 w q - 0 1                                               |  PASS  |
|     1 |          26 | r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1                                         |  PASS  |
|     2 |         568 | r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1                                         |  PASS  |
|     3 |       13744 | r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1                                         |  PASS  |
|     4 |      314346 | r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1                                         |  PASS  |
|     5 |     7594526 | r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1                                         |  PASS  |
|     6 |   179862938 | r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1                                         |  PASS  |
|     1 |          25 | r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1                                         |  PASS  |
|     2 |         567 | r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1                                         |  PASS  |
|     3 |       14095 | r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1                                         |  PASS  |
|     4 |      328965 | r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1                                         |  PASS  |
|     5 |     8153719 | r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1                                         |  PASS  |
|     6 |   195629489 | r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1                                         |  PASS  |
|     1 |          25 | r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1                                         |  PASS  |
|     2 |         548 | r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1                                         |  PASS  |
|     3 |       13502 | r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1                                         |  PASS  |
|     4 |      312835 | r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1                                         |  PASS  |
|     5 |     7736373 | r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1                                         |  PASS  |
|     6 |   184411439 | r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1                                         |  PASS  |
|     1 |          25 | r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1                                         |  PASS  |
|     2 |         547 | r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1                                         |  PASS  |
|     3 |       13579 | r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1                                         |  PASS  |
|     4 |      316214 | r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1                                         |  PASS  |
|     5 |     7878456 | r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1                                         |  PASS  |
|     6 |   189224276 | r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1                                         |  PASS  |
|     1 |          26 | 1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     2 |         583 | 1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     3 |       14252 | 1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     4 |      334705 | 1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     5 |     8198901 | 1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     6 |   198328929 | 1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     1 |          25 | 2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     2 |         560 | 2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     3 |       13592 | 2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     4 |      317324 | 2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     5 |     7710115 | 2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     6 |   185959088 | 2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1                                         |  PASS  |
|     1 |          25 | r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1                                         |  PASS  |
|     2 |         560 | r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1                                         |  PASS  |
|     3 |       13607 | r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1                                         |  PASS  |
|     4 |      320792 | r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1                                         |  PASS  |
|     5 |     7848606 | r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1                                         |  PASS  |
|     6 |   190755813 | r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1                                         |  PASS  |
|     1 |           5 | 4k3/8/8/8/8/8/8/4K2R b K - 0 1                                               |  PASS  |
|     2 |          75 | 4k3/8/8/8/8/8/8/4K2R b K - 0 1                                               |  PASS  |
|     3 |         459 | 4k3/8/8/8/8/8/8/4K2R b K - 0 1                                               |  PASS  |
|     4 |        8290 | 4k3/8/8/8/8/8/8/4K2R b K - 0 1                                               |  PASS  |
|     5 |       47635 | 4k3/8/8/8/8/8/8/4K2R b K - 0 1                                               |  PASS  |
|     6 |      899442 | 4k3/8/8/8/8/8/8/4K2R b K - 0 1                                               |  PASS  |
|     1 |           5 | 4k3/8/8/8/8/8/8/R3K3 b Q - 0 1                                               |  PASS  |
|     2 |          80 | 4k3/8/8/8/8/8/8/R3K3 b Q - 0 1                                               |  PASS  |
|     3 |         493 | 4k3/8/8/8/8/8/8/R3K3 b Q - 0 1                                               |  PASS  |
|     4 |        8897 | 4k3/8/8/8/8/8/8/R3K3 b Q - 0 1                                               |  PASS  |
|     5 |       52710 | 4k3/8/8/8/8/8/8/R3K3 b Q - 0 1                                               |  PASS  |
|     6 |     1001523 | 4k3/8/8/8/8/8/8/R3K3 b Q - 0 1                                               |  PASS  |
|     1 |          15 | 4k2r/8/8/8/8/8/8/4K3 b k - 0 1                                               |  PASS  |
|     2 |          66 | 4k2r/8/8/8/8/8/8/4K3 b k - 0 1                                               |  PASS  |
|     3 |        1197 | 4k2r/8/8/8/8/8/8/4K3 b k - 0 1                                               |  PASS  |
|     4 |        7059 | 4k2r/8/8/8/8/8/8/4K3 b k - 0 1                                               |  PASS  |
|     5 |      133987 | 4k2r/8/8/8/8/8/8/4K3 b k - 0 1                                               |  PASS  |
|     6 |      764643 | 4k2r/8/8/8/8/8/8/4K3 b k - 0 1                                               |  PASS  |
|     1 |          16 | r3k3/8/8/8/8/8/8/4K3 b q - 0 1                                               |  PASS  |
|     2 |          71 | r3k3/8/8/8/8/8/8/4K3 b q - 0 1                                               |  PASS  |
|     3 |        1287 | r3k3/8/8/8/8/8/8/4K3 b q - 0 1                                               |  PASS  |
|     4 |        7626 | r3k3/8/8/8/8/8/8/4K3 b q - 0 1                                               |  PASS  |
|     5 |      145232 | r3k3/8/8/8/8/8/8/4K3 b q - 0 1                                               |  PASS  |
|     6 |      846648 | r3k3/8/8/8/8/8/8/4K3 b q - 0 1                                               |  PASS  |
|     1 |           5 | 4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1                                             |  PASS  |
|     2 |         130 | 4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1                                             |  PASS  |
|     3 |         782 | 4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1                                             |  PASS  |
|     4 |       22180 | 4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1                                             |  PASS  |
|     5 |      118882 | 4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1                                             |  PASS  |
|     6 |     3517770 | 4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1                                             |  PASS  |
|     1 |          26 | r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1                                             |  PASS  |
|     2 |         112 | r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1                                             |  PASS  |
|     3 |        3189 | r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1                                             |  PASS  |
|     4 |       17945 | r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1                                             |  PASS  |
|     5 |      532933 | r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1                                             |  PASS  |
|     6 |     2788982 | r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1                                             |  PASS  |
|     1 |           3 | 8/8/8/8/8/8/6k1/4K2R b K - 0 1                                               |  PASS  |
|     2 |          32 | 8/8/8/8/8/8/6k1/4K2R b K - 0 1                                               |  PASS  |
|     3 |         134 | 8/8/8/8/8/8/6k1/4K2R b K - 0 1                                               |  PASS  |
|     4 |        2073 | 8/8/8/8/8/8/6k1/4K2R b K - 0 1                                               |  PASS  |
|     5 |       10485 | 8/8/8/8/8/8/6k1/4K2R b K - 0 1                                               |  PASS  |
|     6 |      179869 | 8/8/8/8/8/8/6k1/4K2R b K - 0 1                                               |  PASS  |
|     1 |           4 | 8/8/8/8/8/8/1k6/R3K3 b Q - 0 1                                               |  PASS  |
|     2 |          49 | 8/8/8/8/8/8/1k6/R3K3 b Q - 0 1                                               |  PASS  |
|     3 |         243 | 8/8/8/8/8/8/1k6/R3K3 b Q - 0 1                                               |  PASS  |
|     4 |        3991 | 8/8/8/8/8/8/1k6/R3K3 b Q - 0 1                                               |  PASS  |
|     5 |       20780 | 8/8/8/8/8/8/1k6/R3K3 b Q - 0 1                                               |  PASS  |
|     6 |      367724 | 8/8/8/8/8/8/1k6/R3K3 b Q - 0 1                                               |  PASS  |
|     1 |          12 | 4k2r/6K1/8/8/8/8/8/8 b k - 0 1                                               |  PASS  |
|     2 |          38 | 4k2r/6K1/8/8/8/8/8/8 b k - 0 1                                               |  PASS  |
|     3 |         564 | 4k2r/6K1/8/8/8/8/8/8 b k - 0 1                                               |  PASS  |
|     4 |        2219 | 4k2r/6K1/8/8/8/8/8/8 b k - 0 1                                               |  PASS  |
|     5 |       37735 | 4k2r/6K1/8/8/8/8/8/8 b k - 0 1                                               |  PASS  |
|     6 |      185867 | 4k2r/6K1/8/8/8/8/8/8 b k - 0 1                                               |  PASS  |
|     1 |          15 | r3k3/1K6/8/8/8/8/8/8 b q - 0 1                                               |  PASS  |
|     2 |          65 | r3k3/1K6/8/8/8/8/8/8 b q - 0 1                                               |  PASS  |
|     3 |        1018 | r3k3/1K6/8/8/8/8/8/8 b q - 0 1                                               |  PASS  |
|     4 |        4573 | r3k3/1K6/8/8/8/8/8/8 b q - 0 1                                               |  PASS  |
|     5 |       80619 | r3k3/1K6/8/8/8/8/8/8 b q - 0 1                                               |  PASS  |
|     6 |      413018 | r3k3/1K6/8/8/8/8/8/8 b q - 0 1                                               |  PASS  |
|     1 |          26 | r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1                                         |  PASS  |
|     2 |         568 | r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1                                         |  PASS  |
|     3 |       13744 | r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1                                         |  PASS  |
|     4 |      314346 | r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1                                         |  PASS  |
|     5 |     7594526 | r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1                                         |  PASS  |
|     6 |   179862938 | r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1                                         |  PASS  |
|     1 |          26 | r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1                                         |  PASS  |
|     2 |         583 | r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1                                         |  PASS  |
|     3 |       14252 | r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1                                         |  PASS  |
|     4 |      334705 | r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1                                         |  PASS  |
|     5 |     8198901 | r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1                                         |  PASS  |
|     6 |   198328929 | r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1                                         |  PASS  |
|     1 |          25 | r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1                                         |  PASS  |
|     2 |         560 | r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1                                         |  PASS  |
|     3 |       13592 | r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1                                         |  PASS  |
|     4 |      317324 | r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1                                         |  PASS  |
|     5 |     7710115 | r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1                                         |  PASS  |
|     6 |   185959088 | r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1                                         |  PASS  |
|     1 |          25 | r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1                                         |  PASS  |
|     2 |         560 | r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1                                         |  PASS  |
|     3 |       13607 | r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1                                         |  PASS  |
|     4 |      320792 | r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1                                         |  PASS  |
|     5 |     7848606 | r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1                                         |  PASS  |
|     6 |   190755813 | r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1                                         |  PASS  |
|     1 |          25 | 1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     2 |         567 | 1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     3 |       14095 | 1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     4 |      328965 | 1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     5 |     8153719 | 1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     6 |   195629489 | 1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     1 |          25 | 2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     2 |         548 | 2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     3 |       13502 | 2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     4 |      312835 | 2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     5 |     7736373 | 2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     6 |   184411439 | 2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1                                         |  PASS  |
|     1 |          25 | r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1                                         |  PASS  |
|     2 |         547 | r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1                                         |  PASS  |
|     3 |       13579 | r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1                                         |  PASS  |
|     4 |      316214 | r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1                                         |  PASS  |
|     5 |     7878456 | r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1                                         |  PASS  |
|     6 |   189224276 | r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1                                         |  PASS  |
|     1 |          14 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1                                        |  PASS  |
|     2 |         195 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1                                        |  PASS  |
|     3 |        2760 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1                                        |  PASS  |
|     4 |       38675 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1                                        |  PASS  |
|     5 |      570726 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1                                        |  PASS  |
|     6 |     8107539 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1                                        |  PASS  |
|     1 |          11 | 8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1                                            |  PASS  |
|     2 |         156 | 8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1                                            |  PASS  |
|     3 |        1636 | 8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1                                            |  PASS  |
|     4 |       20534 | 8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1                                            |  PASS  |
|     5 |      223507 | 8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1                                            |  PASS  |
|     6 |     2594412 | 8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1                                            |  PASS  |
|     1 |          19 | 8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1                                          |  PASS  |
|     2 |         289 | 8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1                                          |  PASS  |
|     3 |        4442 | 8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1                                          |  PASS  |
|     4 |       73584 | 8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1                                          |  PASS  |
|     5 |     1198299 | 8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1                                          |  PASS  |
|     6 |    19870403 | 8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1                                          |  PASS  |
|     1 |           3 | K7/8/2n5/1n6/8/8/8/k6N w - - 0 1                                             |  PASS  |
|     2 |          51 | K7/8/2n5/1n6/8/8/8/k6N w - - 0 1                                             |  PASS  |
|     3 |         345 | K7/8/2n5/1n6/8/8/8/k6N w - - 0 1                                             |  PASS  |
|     4 |        5301 | K7/8/2n5/1n6/8/8/8/k6N w - - 0 1                                             |  PASS  |
|     5 |       38348 | K7/8/2n5/1n6/8/8/8/k6N w - - 0 1                                             |  PASS  |
|     6 |      588695 | K7/8/2n5/1n6/8/8/8/k6N w - - 0 1                                             |  PASS  |
|     1 |          17 | k7/8/2N5/1N6/8/8/8/K6n w - - 0 1                                             |  PASS  |
|     2 |          54 | k7/8/2N5/1N6/8/8/8/K6n w - - 0 1                                             |  PASS  |
|     3 |         835 | k7/8/2N5/1N6/8/8/8/K6n w - - 0 1                                             |  PASS  |
|     4 |        5910 | k7/8/2N5/1N6/8/8/8/K6n w - - 0 1                                             |  PASS  |
|     5 |       92250 | k7/8/2N5/1N6/8/8/8/K6n w - - 0 1                                             |  PASS  |
|     6 |      688780 | k7/8/2N5/1N6/8/8/8/K6n w - - 0 1                                             |  PASS  |
|     1 |          15 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1                                        |  PASS  |
|     2 |         193 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1                                        |  PASS  |
|     3 |        2816 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1                                        |  PASS  |
|     4 |       40039 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1                                        |  PASS  |
|     5 |      582642 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1                                        |  PASS  |
|     6 |     8503277 | 8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1                                        |  PASS  |
|     1 |          16 | 8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1                                            |  PASS  |
|     2 |         180 | 8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1                                            |  PASS  |
|     3 |        2290 | 8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1                                            |  PASS  |
|     4 |       24640 | 8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1                                            |  PASS  |
|     5 |      288141 | 8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1                                            |  PASS  |
|     6 |     3147566 | 8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1                                            |  PASS  |
|     1 |           4 | 8/8/3K4/3Nn3/3nN3/4k3/8/8 b - - 0 1                                          |  PASS  |
|     2 |          68 | 8/8/3K4/3Nn3/3nN3/4k3/8/8 b - - 0 1                                          |  PASS  |
|     3 |        1118 | 8/8/3K4/3Nn3/3nN3/4k3/8/8 b - - 0 1                                          |  PASS  |
|     4 |       16199 | 8/8/3K4/3Nn3/3nN3/4k3/8/8 b - - 0 1                                          |  PASS  |
